titulo,artista_vendor,precio_mxn,enlace
The Art of Loving - Anniversary Edition CD / Blu-ray,Olivia Dean,$450.00,https://udiscover.mx/products/the-art-of-loving-anniversary-edition-cd-blu-ray
Muse (Signed CD),John Legend,$350.00,https://udiscover.mx/products/muse-signed-cd
THIS & THAT (TRUCK VER.),Stray Kids,$225.00,https://udiscover.mx/products/this-that-truck-ver
THIS & THAT (& VER.),Stray Kids,$375.00,https://udiscover.mx/products/this-that-ver
THIS & THAT (THAT VER.),Stray Kids,$375.00,https://udiscover.mx/products/this-that-that-ver
THIS & THAT (THIS VER.),Stray Kids,$375.00,https://udiscover.mx/products/this-that-this-ver
Querido... (CD Exclusivo),José Madero,$150.00,https://udiscover.mx/products/querido-cd-exclusivo
Man's Best Friend Alt Cover CD,Sabrina Carpenter,$250.00,https://udiscover.mx/products/mans-best-friend-alt-cover-cd
Tu Maliante Bebé (CD),El Malilla,$92.00,https://udiscover.mx/products/tu-maliante-bebe-cd
ESTAN STRANGE I (CD),Rey Pila,$80.00,https://udiscover.mx/products/estan-strange-i-cd
Tension II (CD),Kylie Minogue,$140.00,https://udiscover.mx/products/tension-ii-cd
Mud Standard CD,Remi Wolf,$350.00,https://udiscover.mx/products/mud-standard-cd
No Me Arrepiento de Sentir Tanto CD,Karol G,$350.00,https://udiscover.mx/products/no-me-arrepiento-de-sentir-tanto-cd
JORDI (CD),Maroon 5,$130.00,https://udiscover.mx/products/jordi-cd
Revelación (CD),Selena Gomez,$120.00,https://udiscover.mx/products/revelacion-cd
Alive (CD),David Garrett,$225.00,https://udiscover.mx/products/alive-cd
Labios Mentirosos (CD),La Arrolladora Banda El Limón De René Camacho,$78.00,https://udiscover.mx/products/labios-mentirosos-cd
Madame X (CD),Madonna,$102.00,https://udiscover.mx/products/madame-x-cd
Honk (CD),The Rolling Stones,$94.00,https://udiscover.mx/products/honk-cd
Colombianas Salsa All Star By Alberto Barros  (CD+DVD),Alberto Barros,$130.00,https://udiscover.mx/products/colombianas-salsa-all-star-by-alberto-barros-cd-dvd
Norma (CD),Mon Laferte,$109.00,https://udiscover.mx/products/norma-cd
The Last Concert (CD + DVD),Selena,$130.00,https://udiscover.mx/products/the-last-concert-cd-dvd
En Vivo desde Guadalajara (CD + DVD),Julión Álvarez Y Su Norteño Banda,$109.00,https://udiscover.mx/products/en-vivo-desde-guadalajara-cd
She's the Best - Store Exclusive CD with Poster + Signed Art Card,TROYE SIVAN,$350.00,https://udiscover.mx/products/shes-the-best-store-exclusive-cd-with-poster-signed-art-card
Palace for the People - CD (Signed),Greta Van Fleet,$450.00,https://udiscover.mx/products/palace-for-the-people-cd-signed
NEXT (CD),Xavi,$87.00,https://udiscover.mx/products/next-cd
Faith In The Future (CD),Louis Tomlinson,$138.00,https://udiscover.mx/products/faith-in-the-future-cd
SI AYER FUERA HOY (CD),Morat,$183.00,https://udiscover.mx/products/si-ayer-fuera-hoy-cd-1
For Once In My Life: A Celebration Of Motown (CD),Il Divo,$120.00,https://udiscover.mx/products/for-once-in-my-life-a-celebration-of-motown-cd
Believe (CD),Andrea Bocelli,$120.00,https://udiscover.mx/products/believe-cd
